,almanca,turkce
62,brutto (Der Manager schlug eine Gehaltserhöhung von fünf Prozent brutto vor.),brüt
63,gesetzlich (Das Produkt erfüllt die gesetzlichen Sicherheitsbestimmungen.),yasal
64,"netto (Du kriegst leicht drei Millionen netto, bloß für die Immobilie.)",net
65,die Attacke (Caspers letzte Attacke deckte eine Schwachstelle in der Architektur des Internets selbst auf.),saldırı
66,"der Choleriker (Ich hatte keine Ahnung, dass Kennedy ein Choleriker war.)",asabi
67,die Eventualität (Meine Männer wurden für jede Eventualität ausgebildet.),"olasılık, ihtimal"
68,das Memo (Bei meinem nächsten Einfall schreibe ich ein Memo.),"not, not alma kâğıdı"
69,"das Nervenwrack (Ich wäre längst ein Nervenwrack, wäre ich dem Druck ausgesetzt gewesen, den er in den vergangenen 14 Jahren ertragen hat. )",sinirsel enkaz
70,der Pedant (Als penibler Pedant ist er genau richtig in unserem Lager und Versand.),"müşkülpesent, titiz"
71,"die Selbstvermarktung (Man muss die genaue Zielgruppe für ein bestimmtes Produkt oder eine bestimmte Idee kennen, aber auch für die Selbstvermarktung. )","kendini pazarlama, kendini tanıtma"
72,der Trainee (Neun Monate zuvor war ich noch ein Trainee.),stajyer
73,der Versager (Sie bleiben als Beispiel für einen menschlichen Versager.),"kaybeden, başarısız kimse"
74,die Zeitbombe (Unter den Plänen der EU-Erweiterung tickt unbemerkt eine Zeitbombe.),saatli bomba
75,aufdrücken (Er musste allem seinen Stempel aufdrücken.),"damgalamak, basmak"
76,aufrunden (Aber ich würde den Zollsatz auch gerne auf 20 Prozent aufrunden.),yukarı yuvarlamak
77,abrunden (Können wir die 9 Cent vielleicht abrunden?),aşağı yuvarlamak
78,blenden (Sein Äußeres und sein Charme haben viele Menschen geblendet.),"gözlerini kamaştırmak, büyülemek"
79,brüllen (Das ganze Hotel hat ihn brüllen gehört.),"bağırma, kükreme"
80,"hasten (Eine Schande, so durch die Ausstellung zu hasten.)",acele etmek
81,jetten (Fünf Minuten später jettet ein Flugzeug mit dröhnenden Düsen über den Himmel.),uçmak
82,"lahmlegen (Wir gehen dieses Risiko ein, weil diese Operation die Kriegsmaschinerie des Feindes lahmlegen kann.)",felce uğratmak
83,"übertrumpfen (Da geht es ja auch darum, sich gegenseitig mit Zahlen zu übertrumpfen.)","aşmak, yenmek, üstün gelmek"
84,"wackeln (Lena hörte auf, im Rhythmus mit dem Kopf zu wackeln.)","sallanmak, oynamak"
85,"zelebrieren (Es kommt nicht oft vor, dass wir deutsche Kultur zelebrieren.)","anmak, kutlamak"
86,"zittern (Beinah hätten sie sich berührt, ihr Mund zitterte schon über seinem.)","titremek, ürpermek"
87,"Mist bauen (Doch wenn irgendjemand Mist baut, ist es Ihr Mist.)","işleri mahvetmek, hata yapmak"
88,es weit bringen (Einer wie Sie könnte es weit bringen in diesem Geschäft.),"uzağa gitmek, yükselmek"
89,es geht um... (Es geht um Leben und Tod.),hakkında
90,es handelt sich um (Es dürfte sich wohl um einen Irrtum handeln.),hakkında
91,"Nimm es leicht! (Nimm es leicht, aber nimm es.)",İşleri kolay al!
92,jemandem auf die Schulter klopfen (Sie werden sich gegenseitig auf die Schulter klopfen und den Sieg feiern.),sırtını birine dayamak
93,"es kommt darauf an (Ich weiß, es kommt darauf an, wie die Kurse im Moment stehen.)",bağlıdır
94,"es ernst meinen (Eins ist sicher, diese Leute meinen es ernst.)","ciddi olmak, işi ciddiye almak"
95,es gut meinen (Es gut meinen ist nicht genug.),iyi niyetli olmak
96,ohne Punkt und Komma reden (Herr Koizumi redet ohne Punkt und Komma.),kesintisiz konuşmak
97,"der Laden schmeißen (Eine gute Kreativabteilung ist wichtig, aber sie kann nicht den Laden schmeißen.)","iyi işlemesini sağlamak, her şeyi organize etmek"
98,"hart im Nehmen sein (Man muss hart im Nehmen sein, wenn man hier arbeitet.)",çok dayanıklı olmak
99,"es zu tun haben mit (Wissen Sie überhaupt, mit wem Sie es zu tun haben?)",başa çıkmak
100,"Worauf wollen Sie hinaus? (Bestimmt haben Sie schon verstanden worauf wir hinaus wollen: Es handelt sich einfach um eine Abfolge von Ausgangs-, Zwischen- und Endauswertung.)",Neyi hedefliyorsun?
101,"sich in die Länge ziehen (Situation und sind enttäuscht darüber, dass die Verhandlungen über das Abkommen mit Marokko sich so sehr in die Länge ziehen. )","uzadıkça uzamak, beklenenden uzun sürmek"
102,lässig (Außerhalb des Büros trage ich lässige Kleidung.),"rahat, kayıtsızca"
103,schamlos (Warum vergeuden Sie so schamlos meine Zeit?),utanmaz
104,stilistisch (Die haben stilistisch doch nur Wasser getreten.),"biçimsel, stilistik"
105,unberechenbar (Das macht ihn unberechenbar und gefährlicher.),öngörülemeyen
106,"das Exposé (Ich möchte, dass du jemand anderes dein Exposé schreiben lässt.)","izah etme, ortaya çıkarma"
107,"hochtalentiert (Sie sollten wissen, dass Ihr Sohn hochtalentiert ist.)",çok yetenekli
108,steinreich (Du müsstest bei deiner vielen Arbeit schon steinreich sein.),para babası
109,das Top (Das Top hat keine Ärmel.),üst
110,der Haufen (Ich muss heute einen Haufen Dinge erledigen.),"Yığın, küme"
111,die Hierarchie (Parteien auswählen und einer anderen Partei innerhalb der Hierarchie unterordnen.),hiyerarşi
112,die Unternehmenskultur (Langjährige Tradition ist ein wesentlicher Bestandteil unserer Unternehmenskultur.),şirket kültürü
0,"die Interpretation (Wenn true, die objektive Interpretation im Eingabefokus ignorieren.)",yorumlama
1,die Wirkung (Die Wirkung linderndes System eines umweltschädlichen Gasaustritts.),etki
2,das Atelier (Ihr Atelier wird sie im September beziehen.),"stüdyo, sanatçının atölyesi"
3,die Blockade (Dies führt zu einer Aufhebung der Rocuronium- oder Vecuronium-induzierten Blockade.),"ambargo, engelleme"
4,das Porträt (Es ist ein düsteres Porträt einer dystopischen Gesellschaft.),portre
5,die Vitalität (Reiki stimuliert die Vitalität und natürlichen Abwehrkräfte des Organismus.),canlılık
6,"der Bildhauer (Der Bildhauer, ich erzählte von ihm.)",heykeltıraş
7,die Leinwand (Kunst ist mehr als Pinselstriche auf Leinwand.),"perde, tuval"
8,der Meißel (Den Schweißflansch mit einem Meissel abhebeln.),"keski, kesici"
9,der Rahmen (Die Zeichnung wird als Rahmen im Workspace gespeichert.),çerçeve
10,die Skulptur (Das ist natürlich Rodins berühmteste Skulptur.),heykel
11,bearbeiten (Siteadministratoren können vorhandene IP-Filter auf Siteebene bearbeiten.),"işlemek, düzenlemek, düzeltmek"
12,bemalen (Auf dem Kriegspfad bemalen sie sich das Gesicht.),boyamak
13,bespannen (Saitenklemme für Maschine zum Bespannen eines Schlägers.),"takmak, örtmek"
14,"etwas spannen (Verfahren nach Anspruch 11, bei dem ferner der neue Reibbelag durch Nieten gesichert wird, ohne die Nieten zu spannen.)","germek, sıkmak"
15,vereinfachen (Sie können z.B. achsensymmetrische Modelle durch zyklische Symmetrie erheblich vereinfachen.),basitleştirmek
16,"vergolden (Verfahren zum Vergolden von bandförmigem Halbzeug, insbesondere für Leadframes.)",altınla kaplamak
17,"sich verhören (Ich dachte, ich hätte mich verhört.)","yanlış duymak, yanlış anlamak"
18,"sich verlaufen (Wenn Mei zum Krankenhaus wollte, muss sie sich verlaufen haben.)","kaybolmak, karışmak"
19,versäumen (Ich darf keinen einzigen Tag versäumen.),"kaçırmak, savsaklamak"
20,"verschönern (Die Kinder haben viele Ideen, wie sie ihre Meisterstücke schmücken und verschönern.)",güzelleştirmek
21,sich verwählen (Vielleicht hatte sie sich verwählt.),"yanlış çevirmek, yanlış numarayı çevirmek"
22,sich verwandeln (Die Raupe wird sich bald in einen Schmetterling verwandeln.),"değiştirmek, dönüşmek"
23,"jemandes Neugierde wecken (Wer die Neugierde wecken kann, hat gute Chancen: 74% der Befragten lesen Mailings bei Produkt-Interesse. 39% finden Werbung per Post informativ. )",birinin merakını uyandırmak
24,"unterirdisch (Andorianische Städte sind unterirdisch gebaut, wegen geothermischer Energie.)","yer altı, gizli saklı"
25,"vergnügt (Ich bin vergnügt, weil meine Freunde heiraten.)","neşeli, eğlenceli"
26,"verwirrt (Regina, alle sind verängstigt und verwirrt.)",şaşkın
27,die Avantgarde (Musik aus Zeichentrickfilmen spiegelt das Erbe einer Avantgarde.),"öncü, yenilikçi"
28,die Installation (Der Zielordner für diese Installation von Saba Web.),yükleme
29,die Kluft (Deshalb sollte die Überbrückung der Kluft höchste Priorität genießen.),"uçurum, yer yarığı"
30,der Kurator (Er war Kurator in einem britischen Museum.),"vekil, idareci, kayyum"
31,die Performance (Clustering bietet höhere Performance und Datenverfügbarkeit.),performans
32,"der Tribut (Wir werden einen Feldzug unternehmen, um diesen Tribut einzutreiben.)",haraç
33,der Winkel (Definiert beim Gewindefräsen den Winkel der spiralförmigen Wegfahrbewegung.),"köşe, açı, zaviye"
34,"der Zeitgeist (Die Förderung des elektronischen Geldes ist eine Investition in eine Entwicklung, die dem Zeitgeist entspricht.)",zamanın ruhu
35,angehen (Auch ein großes Mitgliedsland wird das jetzt mit großen Schritten angehen.),"başlamak, başvurmak, ilgilendirmek"
36,"was die Arbeit angeht (Ich muss nur auf der Hut sein, was die Arbeit angeht.)",iş ile ilgili
37,"dahinterstecken (Und Sie haben wirklich keine Ahnung, wer dahinterstecken könnte?)",arkasında olmak
38,"institutionalisieren (Dieses Vorgehen wird die Ineffizienz institutionalisieren, wofür keinerlei Rechtfertigung besteht.)",kurumsallaştırmak
39,"konzipieren (Vorab sollten Regierungen zielgerichtete, evidenzbasierte politische Strategien konzipieren und die Entwicklung solider Institutionen unterstützen.)",tasarlamak
40,platzieren (Sie können zwischen unterschiedlichen Körpern nur vordefinierte Verbindungssätze platzieren.),yerleştirmek
41,verbleiben (Alle anderen Dateien können im Verzeichnis verbleiben.),"kalmak, devam etmek"
42,"wirbeln (Sie wirbeln um die Kapsel, und sie leuchten ganz hell.)",girdap yapmak
43,jemandem einen Gefallen tun (Kannst du mir einen Gefallen tun und mir Toast aus dem Laden mitbringen?),birine bir iyilik yapmak
44,der Grundstein für etwas legen (Gleichzeitig müssen IT-Unternehmen den Grundstein für zukünftige Änderungen legen.),temelini atmak
45,"vertreten sein (Er vertritt meinen Schwiegervater, was bedeutet, dass er jetzt auch mich vertritt.)",temsil edilmek
46,"lateinisch (Ganz genau, Tim. Abgeleitet von pater - lateinisch für ""Vater"".)",Latin
47,trivial (Dann ist dein Leben genauso trivial wie deine Filme.),"yüzeysel, basit"
48,"der Nabel der Welt (Auenwald ist zwar nicht der Nabel der Welt, wenn es um interessante Immobilien geht. )",dünyanın merkezi
49,der öffentliche Raum (Innerhalb der postkolonialen Konzeption der kulturellen Übersetzung verliert der öffentliche Raum seinen autonomen politischen Status.),halka açık alan
50,der Durchbruch (Der Professor erzielte mit seiner neuen Theorie einen Durchbruch.),buluş
51,die Epoche (Der Untergang des Römischen Reiches war der Beginn einer neuen Epoche.),"çağ, yaş"
52,das Handout (Das Handout erleichterte die Übersicht der Themen.),bilgilendirme kağıdı
53,die Skizze (Verwendet eine Skizze zur Definition des Bohrlochprofils.),taslak
54,"das Urheberrecht (Texte, Bilder, Grafiken sowie Design dieser Seiten unterliegen weltweitem Urheberrecht.)",telif hakkı
55,"der Vorläufer (Gründung der Benno-Bolza-Stiftung, Vorläufer des heutigen Betrieblichen Vorschlagswesens.)",öncü
56,der Werdegang (Reden wir mal über Ihren Werdegang zum Abtreibungsarzt.),"kariyer, gelişim"
57,das Zitat (Wie wär's mit einem Zitat Ihres Lieblingsphilosophen?),alıntı
58,"der Zyklus (Dieser Zyklus muss genauso verlaufen, wie er war, sonst wäre der Reisende nie gekommen.)","döngü, dönem, devre"
59,zitieren (Der Lehrer zitierte aus dem Tagebuch des Autors.),alıntı yapmak
60,einen Überblick geben (Die Einführung gab einen Überblick über das Thema.),genel bakış atmak
61,"eine Linie ziehen (Um eine gerade Linie zu ziehen, brauche ich ein Lineal.)",düz çizgi çizmek
62,originell (Der ist übrigens nicht besonders originell.),orijinal
63,"der Galerist (Dort traf er auf den deutschen Händler Hans Neubert, ein bekannter Galerist in Deutschland.)",galeri sahibi
64,das Lehramt (Er studiert Deutsch und Englisch für das Lehramt an Gymnasien.),öğretmenlik
65,die Option (Innerhalb einer Variantenklasse kann nur eine Option gewählt werden.),seçenek
66,der Raumausstatter (Er ist Raumausstatter hier in L.A. Er hat einen Laden im Pacific Design Center.),iç mimar
67,der Sponsor (Der Sponsor bezieht sich gegebenenfalls auf etwaige frühere Anträge.),sponsor
68,das Verfahren (Verfahren zur Herstellung rohrförmiger Formteile aus Hochtemperatur-Supraleiter-Material.),"prosedür, süreç"
69,"nichts von jemandem halten (Ich möchte ehrlich sein und sagen, daß ich nichts von Grenzwerten halte. )","birisini veya bir şeyi onaylamamak, -i hiçe saymak"
70,"viel von jemandem halten (Ich sage dir, was ich von jemandem halte, der...)",e çok değer vermek
71,"wenig von jemandem halten (Von Medizin mag man wenig halten, und sie wirkt trotzdem. )",e az değer vermek
72,"nachahmen (Ich glaube, dass Kinder nachahmen, was sie im Fernsehen sehen.)",taklit etmek
73,"sich selbst überfordern (Nur weil Sie sich mit den ganzen humanitären Bemühungen selbst überfordern, und Sie ihre Suche nach einem Gegenmittel für die Hoffan Droge weiterführen.)","yapabileceğinden fazlasını istemek, aynı anda çok fazla şey yapmaya çalışmak"
74,vermarkten (Wir vermarkten deine Formel weltweit und werden reich.),pazarlamak
75,etwas außer Acht lassen (Einige Leute würden die Tatsachen außer Acht lassen.),"ihmal etmek, görmezden gelmek"
76,beeindruckt sein (Prinzessin Elena wird auf jeden Fall beeindruckt sein.),etkilenmek
77,"sich ein zweites Standbein zulegen (Neben dem reinen Werksverkehr hat sich die MEG mit dem Streckenverkehr ein zweites Standbein zugelegt, auf das heute rund 50 Prozent des Geschäfts entfallen.)",ek bir kazanç fırsatı edinmek
78,umfangreich (Das Dokument ist zu umfangreich für Word.),"muazzam, kapsamlı"
79,"der Staub (Der Staub fängt an, einige sensible Instrumente zu verstopfen.)",toz
80,"unaussprechlich (Sie tat etwas, das in unserer Gesellschaft unaussprechlich ist.)","tarif edilemez, açıklanamaz"
81,angucken (Ich wollte mir das kurz angucken.),gözden geçirmek
82,bewirken (Jeder der folgenden Gründe kann eine anomale Flußrate bewirken.),"bir şeye neden olmak, bir şeye etki etmek"
83,hinterlassen (Wir haben nachgeforscht: Gewisse Gifte hinterlassen keine Spuren.),geride bırakmak
84,verblüffen (Ihre Talente hören nie auf mich zu verblüffen.),"şaşırtmak, hayrette bırakmak"
0,die Akademie,"akademi, kolej"
1,das Design,tasarım
2,die Fachrichtung,"uzmanlık, çalışma alanı"
3,die Geographie,coğrafya
4,die Germanistik,Almanca çalışmaları
5,das Ingenieurwesen,mühendislik
6,Jura,hukuk (artikelsiz)
7,die Rechtswissenschaft,hukuk bilimi
8,die Konstruktion,"inşaat, yapı"
9,die bildende Kunst,"görsel sanatlar, grafik sanatlar, güzel sanatlar"
10,die Präferenz,tercih
11,das Prinzip,"prensip, ilke"
12,die Sozialarbeit,sosyal hizmet
13,die Sozialpädagogik,sosyal pedagoji
14,die Studienordnung,eğitim yönetmeliği
15,simulieren,"benzerini yapmak, taklit etmek"
16,gefragt sein,talep edilen
17,einen Streit schlichten,"bir tartışmayı yatıştırmak, uzlaştırmak"
18,im Mittelpunkt stehen,ilgi odağı olmak
19,fern,uzak
20,samt,"ile birlikte, birlikte"
21,zuliebe,uğruna
22,im weitesten Sinne,en geniş anlamıyla
23,die Bilanz,bilanço
24,die Eleganz,zarafet
25,der Enthusiasmus,"coşkunluk, heyecan"
26,der Feminismus,feminizm
27,die Kompetenz,"yeterlilik, uzmanlık"
28,die Konkurrenz,rekabet
29,die Periode,dönem
30,die Recherche,araştırma
31,die Resonanz,rezonans
32,der Sarkasmus,"acı ince alay, alay etme, alay, sarkazm"
33,der Volontär,gönüllü
34,sich auswirken auf,üzerinde etkisi olmak
35,sich etwas einfangen,bir şey yakalamak
36,einführen,"yavaşça içine sokmak, ithal etmek, yürütmek"
37,ergeben,"vermek, getirmek"
38,ermitteln,"bulmak, meydana çıkarmak"
39,etwas ans Licht bringen,"açığa çıkarmak, ortaya çıkarmak"
40,eine lange Leitung haben,"alımını yavaşlatmak, geç anlamak"
41,geschlechtlich,cinsel
42,die Ausführung,"gerçekleştirme, yürütme"
43,dozieren,ders vermek
44,der Frauenbeauftragte,kadın temsilcisi
45,das Geschlecht,cinsiyet
46,die Gleichstellung,eşitlik
47,die Orthographie,"yazım, imla"
48,die Publikation,yayın
49,der Schriftverkehr,"yazışma, mektuplaşma"
50,differenzieren,farklılaştırmak
51,referieren,rapor vermek
52,Es wird höchste Zeit!,zamanı geldi
53,einseitig,tek taraflı
54,fundiert,temelli
55,spezifisch,"özgül, bağıl"
56,öffentliche Einrichtung,"kamu kurumu, kamu binası"
57,der Ansprechpartner,"sorumlu kişi, ilgili kişi"
58,der Außenhandel,dış ticaret
59,der Austausch,"değiş tokuş, değiştirme"
60,die Belastung,"yük, ağırlık, zorlanma"
61,die Belästigung,"rahatsız etme, rahatsızlık, sarkıntılık"
62,die Besonderheit,"özellik, fevkaladelik"
63,der Bezug,"kılıf, zarf, referans, gönderme"
64,der Mentor,akıl hocası
65,die Perspektive,bakış açısı
66,der Studierende,Öğrenci
67,das Studium,"tahsil, öğrenim, araştırma"
68,der Bachelor,lisans
69,der Master,Yüksek lisans
70,der Überblick über,genel bakış
71,ein Referat halten,"bir konuşma yapmak, bir makale sunmak"
72,eine Vorlesung halten,"ders vermek, ders anlatmak"
73,sich wohlfühlen,"iyi hissetmek, rahat hissetmek"
74,schade sein,yazık olmak
75,anschaulich,"açık, somut"
76,verstörend,"tedirgin edici, rahatsız edici"
77,vertieft,"derin, ileri"
78,dementsprechend,"buna göre, demek ki, öyleyse"
79,die Äußerung,"ifade, beyanat"
80,der Lernstoff,"konu, mevzu, ana fikir"
81,die Mitschrift,"transkript, kayıt, yazılı not"
82,anfertigen,"imal etmek, yapmak"
83,jemandem einleuchten,"açık olmak, akla uygun gelmek, akıl erdirmek"
84,exzerpieren,"alıntı yapmak, çıkarmak"
85,zu einer Einigung kommen,bir anlaşmaya varmak
86,die Anekdote,anekdot
87,die Ansprache,"nutuk, söylev"
88,die Ausdrucksweise,ifade tarzı
89,das Potenzial,"potansiyel, yetenek"
90,das Statement,"beyan, açıklama"
91,ein Wort einfließen lassen,"araya sokmak, tesadüfen bahsetmek"
92,mit offenem Mund dasitzen,orada ağız açık oturmak (şaşırıp kalmış)
93,peinlich,utandırıcı
94,der Abstand,"mesafe, aralık, ara, fark"
95,die Brüstung,korkuluk
96,die Sekundärliteratur,"ikincil literatür (ders kitapları, dergiler, Birincil kaynakları yorumlayan ve analiz eden kaynaklar)"
97,anfassen,"dokunmak, ellemek"
98,antippen,"simgesine dokunmak, simgesine basmak, hafifçe vurmak"
99,schlendern,"(rahat rahat) dolaşmak, dolanmak"
100,expressiv,"anlamlı, dokunaklı"
101,interkulturell,kültürlerarası
102,mäßig,"ölçülü, ılımlı, orta"
103,reserviert,ayrılmış
104,tragfähig,"yaşayabilir, sürdürülebilir, kalıcı"
105,die Einschreibung,kayıt
106,das Stipendium,burs
107,posten,"göndermek, postalamak"
0,unvorhergesehen,beklenmedik
1,der Parasit,parazit
2,der Schmarotzer,sünger
3,der Tramper,otostopçu
4,die Utopie,ütopya
5,sich ausdrücken,kendini ifade etmek
6,sich nach etwas bemessen,bir şeye göre hesaplanmak
7,sich in etwas einbringen,bir şeyde rol oynamak
8,sanieren,"modernleştirmek, onarmak"
9,etwas bewusst machen,bilerek yapmak
10,jemanden in Verlegenheit bringen,utandırmak
11,sich mit etwas schwer tun,"gereğinden daha zor yapmak, zorlaştırmak"
12,auf Kosten anderer,pahasına
13,der Bezirk,"bucak, il, semt"
14,die Mahnung,"uyarı, ikaz, ihtar"
15,die Prävention,önleme
16,die Ratenzahlung,taksitle ödeme
17,die Schuldenfalle,borç tuzağı
18,die Wohlfahrt,refah
19,es geht um...,hakkında...
20,die Auflage,"yüküm, baskı"
21,die Verpflichtung,"yüküm(lülük), mecburiyet, borç, görev"
22,der Ausweg,"çıkar yol, çare"
23,der Betroffene,"etkilenen insanlar, ilgili kişiler"
24,der Gläubiger,"alacaklı, inanan, mümin"
25,die Insolvenz,iflas
26,der Schuldner,borçlu
27,das Verfahren,"prosedür, süreç"
28,die Verfassung,"durum, anayasa"
29,sich begeben,"başına gelmek, olmak, gitmek"
30,geraten,yolu düşmek
31,gut/schlecht geraten,başarıyla/başarısızlıkla sonuçlanmak
32,außer sich geraten,kendinden geçmek
33,sich überschulden,aşırı borçlanmak
34,jemandem zustehen,"hakkıyla ait olmak, layık olmak"
35,ansehen als,"saymak, olarak görmek"
36,sich gegenseitig bedingen,karşılıklı bağımlı olmak
37,sich wechselseitig bedingen,birbiriyle ilişkili olmak
38,Schiffbruch erleiden,"mahvolmak, başarısız olmak"
39,auf sich nehmen,"bir işi üstüne almak, kabul etmek"
40,abgesehen von,"...in dışında, hariç, ... bir yana"
41,betroffen sein von,etkilenmek
42,insolvent,iflas etmiş
43,außergerichtlich,"mahkeme dışında, kayıt dışı, yargısız"
44,aufgrund,"nedeniyle, yüzünden"
45,mangels,in bulunmadığından dolayı
46,zumal,"bilhassa, özellikle, hele çünkü"
47,der Boom,"patlama, yüksek konjonktür"
48,die Konjunktur,konjonktür
49,der Landwirt,çiftçi
50,der Mindestlohn,asgari ücret
51,die Prognose,tahmin
52,die Quote,oranı
53,das Wachstum,büyüme
54,prognostizieren,tahmin etmek
55,hiesig,"buralı, yerel, buradaki"
56,abseits,"...dışında, -in ötesinde, ofsayt"
57,ehemals,eskiden
58,mehrmals,defalarca
59,die Grundsicherung,temel gelir
60,einhaken,"takılmak, askıya asmak, kancalamak"
61,investieren in,yatırım yapmak
62,jemanden unterbrechen,birinin sözünü kesmek
63,jemanden ausreden lassen,birinin sözünü bitimesine izin vermek
64,obdachlos,"evsiz barksız, yersiz yurtsuz"
65,die Bankleitzahl,banka kod numarası
66,das Bargeld,nakit
67,die Behörde,"makam, resmi merci, resmi daire"
68,der Code,kod
69,der Dauerauftrag,sürekli ödeme talimatı
70,die Lastschrift,borç
71,der Transfer,transfer
72,die Währung,para birimi
73,der Zahlungsverkehr,ödeme işlemleri
74,die Ziffer,basamak
75,das Budget,bütçe
76,der Kanton,küçük eyalet
77,liegen bei,de olmak
78,geballt,"konsantre, kümülatif, yoğun"
79,erheblich,"önemli, büyük"
80,schätzungsweise,"tahminen, yaklaşık olarak, kabaca"
0,die Depression,depresyon
1,die Empathie,empati
2,die Individualität,"bireysellik, ferdiyet"
3,die Psychosomatik,psikosomatik
4,mit etwas zu tun haben,"bir şeyle ilgisi(ilişkisi) olmak, ele almak"
5,das Defizit,"noksan, açık"
6,der Gradmesser,gösterge
7,die Konstante,"sabit, mutlak terim (k.)"
8,der Parameter,parametre
9,die Resistenz,direnç
10,die Vernunft,"akıl, akıl sağlığı"
11,die Weisheit,bilgelik (w.)
12,sich abgrenzen von,"ayırt etmek, kendinden uzak tutmak"
13,etwas betrachten als,gibi bakmak
14,einschätzen,"tahmin etmek, kestirmek"
15,meistern,"usta olmak, (çok iyi) becermek, üstesinden gelmek"
16,schätzen,"tahmin etmek, saymak"
17,verkennen,"yanlış değerlendirmek, değerini anlamamak"
18,vermögen,"yapabilmek, -ebilmek"
19,wahrnehmen,"algılamak, farkına varmak, dikkat etmek"
20,sich zurechtfinden mit,"yolunu bulmak, yönünü belirlemek"
21,jemandem in den Sinn kommen,"aklına gelmek, hatırına gelmek"
22,intuitiv,sezgisel
23,der Gefühlsausbruch,duygusal patlama
24,der Impuls,"dürtü, momentum"
25,das Selbstwertgefühl,özsaygı
26,erlangen,"erişmek, ulaşmak, kavuşmak"
27,sich etwas gönnen,kendine bir şey için izin vermek
28,sich in jemanden hineinversetzen,kendini birinin yerine koymak
29,angebracht,"isabetli, yerinde, tavsiye edilebilir"
30,etwas im Griff haben,bir şeyinin püf noktasını bilmek
31,berufsmäßig,profesyonel
32,feindselig,düşmanca (f.)
33,gefühlsbetont,duygusal
34,gefühlsmäßig,duygusal yönden
35,ideell,"manevi, maddi olmayan"
36,kurzfristig,kısa dönem
37,langfristig,uzun dönem
38,reell,"gerçek, makul"
39,sensationell,sansasyonel
40,sensibel,hassas
41,virtuell,sanal
42,die Anziehungskraft,"çekicilik, çekim gücü"
43,der Rückschluss,"sonuç, netice"
44,das Temperament,mizaç
45,ausweichen,"kaçınmak, yol vermek"
46,ertappen,yakalamak
47,hinnehmen,"kabul etmek, hazmetmek, tolere etmek"
48,verbergen vor,"den gizlemek, saklamak"
49,jemandem aus dem Konzept bringen,birini şaşkına döndürmek
50,beschämend,"utanç verici, küçük düşürücü"
51,einfühlsam,"duyarlı, empatik"
52,gelegentlich,bazen
53,indiskutabel,"söz konusu olmayan, tartışılamaz"
54,rentabel,"kazançlı, verimli"
55,vertrauensselig,"inandırıcı, güvenilir"
56,vordergründig,yüzeysel
57,der Balken,"direk, kiriş"
58,der Freiraum,"özgürlük, boş alan"
59,modulieren,"modüle etmek, şekillendirmek, biçimlendirmek"
60,Ideen miteinander verknüpfen,"fikirleri birleştirmek, fikirleri bir araya getirmek"
61,beträchtlich,"önemli, büyük, dikkate değer"
62,die Symptomatik,semptom
63,jemanden bedrücken,"üzmek, bunaltmak"
64,sich einer Sache entscheiden,karar vermek
65,die Auffälligkeit,"ayırt edicilik, anormallik"
66,die Ausdauer,dayanıklılık
67,der Brennpunkt,odak noktası
68,die Feigheit,"korkaklık, yüreksizlik"
69,die Gewissenhaftigkeit,"dürüstlük, çalışkanlık"
70,die Hypnose,hipnoz
71,der Mut,cesaret
72,die Nachlässigkeit,"ihmalkârlık, ihmal"
73,die Psyche,ruh
74,die Psychoanalyse,psikanaliz
75,die soziale Schere,sosyal boşluk
76,das Schuldgefühl,suçluluk duygusu
77,das Umfeld,"çevre, ortam"
78,das Verhaltensmuster,davranış kalıpları
79,der Versprecher,dil sürçmesi
80,das Zeitalter,"devir, çağ"
81,auf jemanden ankommen,e bağlı olmak
82,belegen,"kanıtlamak, örtmek, döşemek, (derse) kaydolmak"
83,zu etwas beitragen,katkıda bulunmak
84,darlegen,"göstermek, ortaya koymak, açıklamak"
85,jemanden fesseln,"bağlamak, sarmak, büyülemek"
86,mit etwas zurechtkommen,"bir şeyin hakkından gelmek, biriyle iyi anlaşmak"
87,es zu etwas bringen,"herhangi bir yere, bir yere ulaşmak"
88,sich einfinden,(yere) ulaşmak
89,hinter die Kulissen schauen,perde arkasına bakmak
90,jemanden in die Lage versetzen,"birini bir şey yapacak pozisyona getirmek, birinin bir şeyler yapmasını sağlamak"
91,ausschlaggebend,"ağır basan, kesin sonuca etkisi olan"
92,eingefahren,yerleşik
93,provokant,kışkırtıcı
94,überholt,eskimiş
95,unbewusst,bilinçsiz
96,in etwas bestehen,bir şeyden oluşmak
97,veranschaulichen,"canlandırmak, somutlaştırmak, açıklamak, canlandırarak anlatmak"
0,der Entwurf,"taslak, karalama, tasarı, plan"
1,die Schiene,ray
2,die Vision,vizyon
3,das Abwasser,atık su; kanalizasyon
4,der Feinstaub,"ince parçacıklar, ince toz"
5,der Kollektor,toplayıcı
6,die Kommune,"belediye, konsey"
7,die Metropole,metropol
8,die Optik,optik
9,der Pionier,öncü
10,der Smog,dumanlı sis
11,die Solarzelle,"fotovoltaik hücre, güneş pili"
12,das Treibhausgas,Sera gazı
13,die Unmenge,"büyük miktar, dünya kadar"
14,die Urbanisierung,kentleşme
15,der Zustrom,"akın, üşüşme"
16,anlocken,"çekmek, cezbetmek"
17,appellieren,"seslenmek, temyize gitmek"
18,ausstopfen,doldurmak
19,entgegenwirken,"karşı koymak, karşılamak"
20,surren,vızıldamak
